Machine readable	1acb751e-decc-405a-095a-4aa568f70b9a	e2b64f4a-3173-4f62-ef89-a9c9dd39694e	abfab98b-8018-4089-b600-63ff50eaef9d	868402c1-7656-4c80-410e-2ee7aaac320f	633598be-b90d-4822-db50-7d2b3506ffaf	757c2dae-9ec4-495f-3c97-5721a303d57a	b8dbe898-da6d-45fc-5932-06b052b148c2	933091ef-9a5f-4427-266a-3b6cc49f3d8e	008b513e-a177-4c33-9a8d-1ccc7af6488a	175110ee-6387-47a6-1a57-e73e729008b2	cb92e6c4-832a-49d3-2ea2-6ed59184898a	1b4b97a4-7d0b-4c13-0ca5-67602587bbf7	3a4ad494-80b2-45b2-7542-2b797e629d33	a6dac5f0-344f-431b-245a-5790783e4bff	91f55312-a619-438a-9dc9-ac11df5367e5	03adeac6-71b9-4151-1fff-8c5c22f7208b	83955fab-37ec-43dd-ba05-9a2be883151a	f104d132-daac-4bea-de08-2554f093b1e1	a10a9e54-a2a5-4d5a-e8c9-59e26c02b456	75bddbc3-ce14-4698-3a68-1c7cd02105f9	34e0272b-ac9e-44c8-907f-5c6a197c6918	addc8f1a-5a10-4916-a826-342a22cf947e	103fd6f1-00fb-4caa-0ff1-612d6e5a197b	167a9bf2-bf94-4b84-beae-503b7b9cccb0	9458471e-52ac-4f44-fdbf-5978e184ef7e	6de15a7f-26d7-423e-7d16-33121e65dd3e	b6bd16e5-7d43-42b5-6108-20f8001aec02	9ab06179-dccb-44bb-3a0c-c1c6943c97f1	02e39334-1975-4707-1ab0-c3bd631e104f	03fe4c37-129e-4dac-e052-1dcb1ee798c6	79a413a2-a734-44d4-d4a1-aa9f58b28c5c	95ab4414-2df3-4877-fecf-d68ca6f4a972	b8f19cfc-456b-4985-ffaf-c6e1e9687347	6f9eb33a-c517-4196-4c6d-21cfcb08b33e	c2cb5935-0c92-45d7-adb2-f8d6529de0a1	f9b6ddee-f39b-4a6e-418b-45fa16ab902d	74e0c82d-9cce-4000-9047-43d8f5c14671	6db6ccba-bff6-4b47-53dd-bbedf9e4eca2
BGE_00030_F02																																						
BGE_00006_A09																																						
BGE_00131_D04																																						
BGE_00131_D08																																						
BGE_00131_D09																																						
BGE_00429_A01																																						
BGE_00429_A04																																						
BGE_00131_E05																																						
BGE_00805_H10																																						
BGE_00131_E07																																						
BGE_00131_E09																																						
BGE_00429_A11																																						
BGE_00801_A06																																						
BGE_00135_D06																																						
BGE_00030_C06																																						
BGE_00801_A10																																						
BGE_00131_F07																																						
BGE_00429_B07																																						
BGE_00801_B02																																						
BGE_00131_F10																																						
BGE_00429_B12																																						
BGE_00801_B06																																						
BGE_00801_B07																																						
BGE_00801_B08																																						
BGE_00429_C04																																						
BGE_00131_G05																																						
BGE_00801_B12																																						
BGE_00429_B10																																						
BGE_00429_C11																																						
BGE_00030_C09																																						
BGE_00801_C09																																						
BGE_00429_D05																																						
BGE_00429_D06																																						
BGE_00131_H11																																						
BGE_00131_H12																																						
BGE_00128_A01																																						
BGE_00429_C01																																						
BGE_00429_E02																																						
BGE_00801_D09																																						
BGE_00429_E05																																						
BGE_00429_E06																																						
BGE_00429_C02																																						
BGE_00801_D12																																						
BGE_00429_E10																																						
BGE_00429_C03																																						
BGE_00128_A12																																						
BGE_00429_F01																																						
BGE_00128_B03																																						
BGE_00030_C12																																						
BGE_00014_D01																																						
BGE_00006_A11																																						
BGE_00429_G01																																						
BGE_00801_F07																																						
BGE_00429_G03																																						
BGE_00429_G04																																						
BGE_00429_G07																																						
BGE_00429_C07																																						
BGE_00006_C11																																						
BGE_00801_G02																																						
BGE_00520_C06	BGE_00520		C06	https://ror.org/03s6n4r12			https://orcid.org/0000-0003-0746-2278																Yes											Ethanol				
BGE_00429_G10																																						
BGE_00801_G06																																						
BGE_00128_D02																																						
BGE_00006_E11																																						
BGE_00429_H11																																						
BGE_00801_H06																																						
BGE_00128_E04																																						
BGE_00671_D01	BGE_00671		D01	https://ror.org/051qn8h41																			Yes											Ethanol				
BGE_00520_C10	BGE_00520		C10	https://ror.org/03s6n4r12			https://orcid.org/0000-0003-0746-2278																Yes											Ethanol				
BGE_00520_C12	BGE_00520		C12	https://ror.org/03s6n4r12			https://orcid.org/0000-0003-0746-2278																Yes											Ethanol				
BGE_00803_B09																																						
BGE_00803_C04																																						
BGE_00673_A10	BGE_00673		A10	https://ror.org/051qn8h41			https://orcid.org/0000-0002-5862-5114																Yes											Ethanol				
BGE_00803_C09																																						
BGE_00007_A01																																						
BGE_00468_D05																																						
BGE_00011_F08																																						
BGE_00248_F05																																						
BGE_00429_D12																																						
BGE_00007_E01																																						
BGE_00248_G02																																						
BGE_00429_E01																																						
BGE_00803_G04																																						
BGE_00429_E03																																						
BGE_00429_E04																																						
BGE_00672_E12	BGE_00672		E12	https://ror.org/051qn8h41			https://orcid.org/0000-0002-5862-5163																Yes											Ethanol				
BGE_00429_E08																																						
BGE_00083_A03																																						
BGE_00083_A12																																						
BGE_00083_C09																																						
BGE_00083_D07																																						
BGE_00083_D08																																						
BGE_00083_D09																																						
RM3_1333	BGE_00565		A03	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_00083_G07																																						
BGE_00083_G11																																						
BGE_00083_G12																																						
BGE_MZH_LEP_1928	BGE_00547		C04	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			12-Apr-16													No permits needed	No										Dry				
BGE_00735_A09																																						
BGE_MZH_LEP_1942	BGE_00547		D06	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			27-May-07													No permits needed	No										Dry				
BGE_00429_F03																																						
BGE_MZH_LEP_1943	BGE_00547		D07	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			29-May-07													No permits needed	No										Dry				
BGE_00735_A12																																						
BGE_00135_E03																																						
BGE_00123_A03																																						
BGE_00123_A04																																						
BGE_MZH_LEP_1947	BGE_00547		D11	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			26-May-02													No permits needed	No										Dry				
BGE_00123_A07																																						
BGE_00123_A08																																						
BGE_MZH_LEP_1950	BGE_00547		E02	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			05-Jun-10													No permits needed	No										Dry				
BGE_MZH_LEP_1951	BGE_00547		E03	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			28-Jun-01													No permits needed	No										Dry				
BGE_MZH_LEP_1953	BGE_00547		E05	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			18-May-05													No permits needed	No										Dry				
BGE_00028_A12																																						
BGE_00673_B03	BGE_00673		B03	https://ror.org/051qn8h41			https://orcid.org/0000-0002-5862-5119																Yes											Ethanol				
BGE_00123_B06																																						
BGE_00735_B05																																						
BGE_00044_A10																																						
BGE_00123_C06																																						
BGE_00123_C07																																						
BGE_00123_C10																																						
BGE_00123_D01																																						
BGE_00383_A01																																						
BGE_MZH_LEP_1984	BGE_00547		G12	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			19-May-05													No permits needed	No										Dry				
BGE_MZH_LEP_1985	BGE_00547		H01	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			17-Jun-99													No permits needed	No										Dry				
BGE_MZH_LEP_1986	BGE_00547		H02	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			07-May-96													No permits needed	No										Dry				
BGE_MZH_LEP_1991	BGE_00547		H07	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			20-May-07													No permits needed	No										Dry				
BGE_00123_E03																																						
BGE_MZH_LEP_1993	BGE_00547		H09	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			19-May-05													No permits needed	No										Dry				
BGE_MZH_LEP_1994	BGE_00547		H10	https://ror.org/03tcx6c30			https://orcid.org/0009-0004-5000-4170			17-Apr-02													No permits needed	No										Dry				
BGE_00203_B06																																						
BGE_MZH_LEP_1720	BGE_00545		A10	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_MZH_LEP_1721	BGE_00545		A11	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_MZH_LEP_1722	BGE_00545		A12	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_MZH_LEP_1728	BGE_00545		B06	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360		paratype														No permits needed	No										Dry				
BGE_MZH_LEP_1730	BGE_00545		B08	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360		paratype														No permits needed	No										Dry				
BGE_MZH_LEP_1735	BGE_00545		C01	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_MZH_LEP_1736	BGE_00545		C02	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_MZH_LEP_1747	BGE_00545		D01	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_MZH_LEP_1752	BGE_00545		D06	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360			06-Jun-11													No permits needed	No										Dry				
BGE_00143_E03																																						
BGE_00634_A11	BGE_00634		A11		120	personal number	https://orcid.org/0000-0003-0111-1573	20-Aug-2024		17-Aug-24													Yes											Ethanol				
BGE_MZH_LEP_1766	BGE_00545		E08	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_00509_C06	BGE_00509		C06	https://ror.org/03s6n4r12			https://orcid.org/0000-0002-0067-4684																Yes											Ethanol				
RM3_1364	BGE_00565		C10	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_MZH_LEP_1794	BGE_00545		G12	https://ror.org/03tcx6c30			https://orcid.org/0000-0002-3477-5360																No permits needed	No										Dry				
BGE_00429_H08																																						
BGE_00520_H07	BGE_00520		H07	https://ror.org/03s6n4r12																			Yes											Ethanol				
BGE_MZH_LEP_1524	BGE_00544		A04	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00429_H10																																						
BGE_00439_F04	BGE_00439		F04	https://www.bio.unifi.it/				2024-12-17															Yes											Dry				
BGE_00122_A03																																						
BGE_00122_A04																																						
BGE_MZH_LEP_1543	BGE_00544		B11	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_MZH_LEP_1545	BGE_00544		C01	https://ror.org/03tcx6c30						28-Jun-19													No permits needed	No										Dry				
BGE_MZH_LEP_1546	BGE_00544		C02	https://ror.org/03tcx6c30						28-Jun-19													No permits needed	No										Dry				
BGE_00122_B01																																						
BGE_MZH_LEP_1553	BGE_00544		C09	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00122_B04																																						
BGE_00122_B05																																						
BGE_00122_B07																																						
BGE_00235_B02	BGE_00235		B02	https://ror.org/03zga2b32			https://orcid.org/0009-0003-8849-7196	2024-05-28															Yes											Ethanol				BGE_00235_B02
BGE_00122_C01																																						
BGE_00235_D06	BGE_00235		D06	https://ror.org/03zga2b32			https://orcid.org/0009-0003-8849-7196	2024-05-30															Yes											Ethanol				BGE_00235_D06
BGE_MZH_LEP_1568	BGE_00544		D12	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00235_F01	BGE_00235		F01	https://ror.org/03zga2b32			https://orcid.org/0000-0002-3892-4036	2022-02-16															Yes											Ethanol				BGE_00235_F01
BGE_MZH_LEP_1569	BGE_00544		E01	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00235_F07	BGE_00235		F07	https://ror.org/03zga2b32			https://orcid.org/0009-0003-8849-7196	2021-07-04															Yes											Ethanol				BGE_00235_F07
BGE_00235_H08	BGE_00235		H08	https://ror.org/03zga2b32			https://orcid.org/0000-0002-3892-4036	2023-05-05															Yes											Ethanol				BGE_00235_H08
BGE_00122_D02																																						
BGE_MZH_LEP_1578	BGE_00544		E10	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00122_D06																																						
BGE_MZH_LEP_1581	BGE_00544		F01	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_MZH_LEP_1582	BGE_00544		F02	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00122_D09																																						
BGE_00122_D10																																						
BGE_00438_A06	BGE_00438		A06	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00122_E01																																						
BGE_00438_A09	BGE_00438		A09	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00438_A10	BGE_00438		A10	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_MZH_LEP_1588	BGE_00544		F08	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
BGE_00438_B07	BGE_00438		B07	https://www.bio.unifi.it/				2024-08-15															Yes											Dry				
BGE_00438_B09	BGE_00438		B09	https://www.bio.unifi.it/				2024-08-16															Yes											Dry				
BGE_00438_B10	BGE_00438		B10	https://www.bio.unifi.it/				2024-08-16															Yes											Dry				
BGE_00438_B12	BGE_00438		B12	https://www.bio.unifi.it/				2024-08-16															Yes											Dry				
RM3_1332	BGE_00565		A02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_MZH_LEP_1590	BGE_00544		F10	https://ror.org/03tcx6c30																			No permits needed	No										Dry				
RM3_1334	BGE_00565		A04	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1335	BGE_00565		A05	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1336	BGE_00565		A06	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1337	BGE_00565		A07	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1338	BGE_00565		A08	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_00122_E05																																						
RM3_1341	BGE_00565		A11	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1342	BGE_00565		A12	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1343	BGE_00565		B01	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1344	BGE_00565		B02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1345	BGE_00565		B03	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1346	BGE_00565		B04	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1348	BGE_00565		B06	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1349	BGE_00565		B07	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1350	BGE_00565		B08	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_00122_E07																																						
RM3_1352	BGE_00565		B10	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1353	BGE_00565		B11	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1354	BGE_00565		B12	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1355	BGE_00565		C01	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1356	BGE_00565		C02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1357	BGE_00565		C03	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1358	BGE_00565		C04	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1359	BGE_00565		C05	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1360	BGE_00565		C06	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1361	BGE_00565		C07	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1362	BGE_00565		C08	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1363	BGE_00565		C09	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_00438_E09	BGE_00438		E09	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1365	BGE_00565		C11	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1367	BGE_00565		D01	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1368	BGE_00565		D02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1369	BGE_00565		D03	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8917										UNIFI						Yes											Ethanol				
RM3_1370	BGE_00565		D04	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8917										UNIFI						Yes											Ethanol				
BGE_00438_F05	BGE_00438		F05	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1373	BGE_00565		D07	https://scienze.uniroma3.it/			https://orcid.org/0000-0003-2498-8917										UNIFI						Yes											Ethanol				
BGE_00438_F07	BGE_00438		F07	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1375	BGE_00565		D09	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_00438_F09	BGE_00438		F09	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
BGE_00438_F11	BGE_00438		F11	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
BGE_00438_F12	BGE_00438		F12	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1380	BGE_00565		E02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1383	BGE_00565		E05	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
RM3_1384	BGE_00565		E06	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_00438_G07	BGE_00438		G07	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
BGE_00438_G08	BGE_00438		G08	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1388	BGE_00565		E10	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_00438_G10	BGE_00438		G10	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1390	BGE_00565		E12	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-9710-759X										UNIFI						Yes											Ethanol				
BGE_00438_G12	BGE_00438		G12	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1392	BGE_00565		F02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1393	BGE_00565		F03	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1394	BGE_00565		F04	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1396	BGE_00565		F06	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1397	BGE_00565		F07	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1398	BGE_00565		F08	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1399	BGE_00565		F09	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1400	BGE_00565		F10	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1401	BGE_00565		F11	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_00438_H11	BGE_00438		H11	https://www.bio.unifi.it/				2024-09-01															Yes											Dry				
RM3_1403	BGE_00565		G01	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1404	BGE_00565		G02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1405	BGE_00565		G03	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1406	BGE_00565		G04	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_00440_A06	BGE_00440		A06	https://www.bio.unifi.it/				jan-2030															Yes											Dry				
RM3_1409	BGE_00565		G07	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1410	BGE_00565		G08	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1411	BGE_00565		G09	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1412	BGE_00565		G10	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1413	BGE_00565		G11	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_00440_A12	BGE_00440		A12	https://www.bio.unifi.it/				jan-2036															Yes											Dry				
RM3_1416	BGE_00565		H02	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1417	BGE_00565		H03	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1418	BGE_00565		H04	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1419	BGE_00565		H05	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1420	BGE_00565		H06	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1421	BGE_00565		H07	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1422	BGE_00565		H08	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
BGE_00440_B09	BGE_00440		B09	https://www.bio.unifi.it/				jan-2045															Yes											Dry				
RM3_1424	BGE_00565		H10	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RM3_1425	BGE_00565		H11	https://scienze.uniroma3.it/			https://orcid.org/0000-0001-7764-5096										UNIFI						Yes											Ethanol				
RMNH.INS.1715515	BGE_00198		A01					2024																										Dry				
RMNH.INS.1715516	BGE_00198		A02					2024																										Dry				
RMNH.INS.1715519	BGE_00198		A05					2024																										Dry				
RMNH.INS.1715520	BGE_00198		A06					2024																										Dry				
RMNH.INS.1715523	BGE_00198		A09					2024																										Dry				
RMNH.INS.1715524	BGE_00198		A10					2024																										Dry				
RMNH.INS.1715525	BGE_00198		A11					2024																										Dry				
BGE_00440_C11	BGE_00440		C11	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_C12	BGE_00440		C12	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_D01	BGE_00440		D01	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_D02	BGE_00440		D02	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715530	BGE_00198		B04					2024																										Dry				
BGE_00440_D04	BGE_00440		D04	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_D05	BGE_00440		D05	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715533	BGE_00198		B07					2024																										Dry				
RMNH.INS.1715534	BGE_00198		B08					2024																										Dry				
RMNH.INS.1715535	BGE_00198		B09					2024																										Dry				
RMNH.INS.1715536	BGE_00198		B10					2024																										Dry				
RMNH.INS.1715538	BGE_00198		B12					2024																										Dry				
RMNH.INS.1715540	BGE_00198		C02					2024																										Dry				
BGE_00440_E03	BGE_00440		E03	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_E04	BGE_00440		E04	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_E07	BGE_00440		E07	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715547	BGE_00198		C09					2024																										Dry				
RMNH.INS.1715548	BGE_00198		C10					2024																										Dry				
BGE_00440_F01	BGE_00440		F01	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_F02	BGE_00440		F02	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_F03	BGE_00440		F03	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715555	BGE_00198		D05					2024																										Dry				
RMNH.INS.1715556	BGE_00198		D06					2024																										Dry				
RMNH.INS.1715557	BGE_00198		D07					2024																										Dry				
BGE_00440_F07	BGE_00440		F07	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715559	BGE_00198		D09					2024																										Dry				
RMNH.INS.1715560	BGE_00198		D10					2024																										Dry				
RMNH.INS.1715561	BGE_00198		D11					2024																										Dry				
BGE_00440_G01	BGE_00440		G01	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715565	BGE_00198		E03					2024																										Dry				
BGE_00440_G04	BGE_00440		G04	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_G07	BGE_00440		G07	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_G08	BGE_00440		G08	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715574	BGE_00198		E12					2024																										Dry				
BGE_00440_H02	BGE_00440		H02	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_H03	BGE_00440		H03	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_H06	BGE_00440		H06	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
RMNH.INS.1715582	BGE_00198		F08					2024																										Dry				
BGE_00440_H08	BGE_00440		H08	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_H09	BGE_00440		H09	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00440_H11	BGE_00440		H11	https://www.bio.unifi.it/				oct-2024															Yes											Dry				
BGE_00931_A01	BGE_00931		A01	https://www.bio.unifi.it/				january-2025															Yes											Dry				
